payload_name,encoding,alphabet_size,rank_count,original_byte_length,exact_recovery,expansion_ranks_per_byte
sha256_public_test_string,hex_character,16,128,64,True,2.0
sha256_public_test_string,fixed_radix_bits,2,512,64,True,8.0
sha256_public_test_string,fixed_radix_bits,4,256,64,True,4.0
sha256_public_test_string,fixed_radix_bits,8,171,64,True,2.671875
sha256_public_test_string,fixed_radix_bits,16,128,64,True,2.0
sha256_public_test_string,fixed_radix_bits,32,103,64,True,1.609375
sha256_public_test_string,fixed_radix_bits,64,86,64,True,1.34375
random_128_bit_hex,hex_character,16,64,32,True,2.0
random_128_bit_hex,fixed_radix_bits,2,256,32,True,8.0
random_128_bit_hex,fixed_radix_bits,4,128,32,True,4.0
random_128_bit_hex,fixed_radix_bits,8,86,32,True,2.6875
random_128_bit_hex,fixed_radix_bits,16,64,32,True,2.0
random_128_bit_hex,fixed_radix_bits,32,52,32,True,1.625
random_128_bit_hex,fixed_radix_bits,64,43,32,True,1.34375
random_256_bit_hex,hex_character,16,128,64,True,2.0
random_256_bit_hex,fixed_radix_bits,2,512,64,True,8.0
random_256_bit_hex,fixed_radix_bits,4,256,64,True,4.0
random_256_bit_hex,fixed_radix_bits,8,171,64,True,2.671875
random_256_bit_hex,fixed_radix_bits,16,128,64,True,2.0
random_256_bit_hex,fixed_radix_bits,32,103,64,True,1.609375
random_256_bit_hex,fixed_radix_bits,64,86,64,True,1.34375
nonce_96_bit_hex,hex_character,16,48,24,True,2.0
nonce_96_bit_hex,fixed_radix_bits,2,192,24,True,8.0
nonce_96_bit_hex,fixed_radix_bits,4,96,24,True,4.0
nonce_96_bit_hex,fixed_radix_bits,8,64,24,True,2.6666666666666665
nonce_96_bit_hex,fixed_radix_bits,16,48,24,True,2.0
nonce_96_bit_hex,fixed_radix_bits,32,39,24,True,1.625
nonce_96_bit_hex,fixed_radix_bits,64,32,24,True,1.3333333333333333
uuidv4_like,hex_character,16,72,36,True,2.0
uuidv4_like,fixed_radix_bits,2,288,36,True,8.0
uuidv4_like,fixed_radix_bits,4,144,36,True,4.0
uuidv4_like,fixed_radix_bits,8,96,36,True,2.6666666666666665
uuidv4_like,fixed_radix_bits,16,72,36,True,2.0
uuidv4_like,fixed_radix_bits,32,58,36,True,1.6111111111111112
uuidv4_like,fixed_radix_bits,64,48,36,True,1.3333333333333333
fake_bearer_token_like,hex_character,16,110,55,True,2.0
fake_bearer_token_like,fixed_radix_bits,2,440,55,True,8.0
fake_bearer_token_like,fixed_radix_bits,4,220,55,True,4.0
fake_bearer_token_like,fixed_radix_bits,8,147,55,True,2.672727272727273
fake_bearer_token_like,fixed_radix_bits,16,110,55,True,2.0
fake_bearer_token_like,fixed_radix_bits,32,88,55,True,1.6
fake_bearer_token_like,fixed_radix_bits,64,74,55,True,1.3454545454545455
fake_hmac_tag_like,hex_character,16,162,81,True,2.0
fake_hmac_tag_like,fixed_radix_bits,2,648,81,True,8.0
fake_hmac_tag_like,fixed_radix_bits,4,324,81,True,4.0
fake_hmac_tag_like,fixed_radix_bits,8,216,81,True,2.6666666666666665
fake_hmac_tag_like,fixed_radix_bits,16,162,81,True,2.0
fake_hmac_tag_like,fixed_radix_bits,32,130,81,True,1.6049382716049383
fake_hmac_tag_like,fixed_radix_bits,64,108,81,True,1.3333333333333333
invalid_jwt_like,hex_character,16,406,203,True,2.0
invalid_jwt_like,fixed_radix_bits,2,1624,203,True,8.0
invalid_jwt_like,fixed_radix_bits,4,812,203,True,4.0
invalid_jwt_like,fixed_radix_bits,8,542,203,True,2.6699507389162562
invalid_jwt_like,fixed_radix_bits,16,406,203,True,2.0
invalid_jwt_like,fixed_radix_bits,32,325,203,True,1.6009852216748768
invalid_jwt_like,fixed_radix_bits,64,271,203,True,1.3349753694581281
ciphertext_like_base64,hex_character,16,128,64,True,2.0
ciphertext_like_base64,fixed_radix_bits,2,512,64,True,8.0
ciphertext_like_base64,fixed_radix_bits,4,256,64,True,4.0
ciphertext_like_base64,fixed_radix_bits,8,171,64,True,2.671875
ciphertext_like_base64,fixed_radix_bits,16,128,64,True,2.0
ciphertext_like_base64,fixed_radix_bits,32,103,64,True,1.609375
ciphertext_like_base64,fixed_radix_bits,64,86,64,True,1.34375
