status,metric_name,group_name,protocol_variant,payload_class,prompt_family,n,mean,standard_deviation,bootstrap_ci_low_95,bootstrap_ci_high_95,notes
ok,exact_recovery,protocol_variant,nonseg_ascii_b16,,,1,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant,nonseg_ascii_b16,,,1,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,generated_token_count,protocol_variant,nonseg_ascii_b16,,,1,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,generated_token_count,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,mean_token_log_probability,protocol_variant,nonseg_ascii_b16,,,1,-4.369661930660413,0.0,-4.369661930660413,-4.369661930660413,deterministic bootstrap over recorded trial rows
ok,mean_token_log_probability,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,-4.369661930660413,0.0,-4.369661930660413,-4.369661930660413,deterministic bootstrap over recorded trial rows
ok,p95_generated_rank,protocol_variant,nonseg_ascii_b16,,,1,9.0,0.0,9.0,9.0,deterministic bootstrap over recorded trial rows
ok,p95_generated_rank,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,9.0,0.0,9.0,9.0,deterministic bootstrap over recorded trial rows
ok,repeated_token_fraction,protocol_variant,nonseg_ascii_b16,,,1,0.0625,0.0,0.0625,0.0625,deterministic bootstrap over recorded trial rows
ok,repeated_token_fraction,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,0.0625,0.0,0.0625,0.0625,deterministic bootstrap over recorded trial rows
ok,artifact_count_total,protocol_variant,nonseg_ascii_b16,,,1,0.0,0.0,0.0,0.0,deterministic bootstrap over recorded trial rows
ok,artifact_count_total,protocol_variant_by_payload_class,nonseg_ascii_b16,random_128_bit_hex,,1,0.0,0.0,0.0,0.0,deterministic bootstrap over recorded trial rows
