source_type,trial_id,payload_name,payload_class,protocol_variant,representation_name,prompt_name,prompt_family,segment_index,token_count,character_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,artifact_count_total,contains_backtick,contains_bracket_placeholder,contains_url_fragment,contains_latex_fragment,contains_html_fragment,contains_markdown_heading,contains_markdown_emphasis,contains_separator_line,notes,fraction_rank_le_16,fraction_rank_le_64
nonseg_rankcloak,nonseg_ascii_b16__paper_sha256_hex_000__ascii_bytes_fixed_radix__b16__recipe_long_specific,paper_sha256_hex_000,sha256_hex,nonseg_ascii_b16,ascii_bytes_fixed_radix,recipe_long_specific,recipe,,128,516,37,0.1976744186046511,0.1065891472868217,0.0232558139534883,0.6686046511627907,0.5703125,0.4296875,-3.9558246077549457,-3.603126765706224,5.015625,8.0,2,False,True,False,False,False,False,False,True,non-segmented exact-copy RankCloak cover,1.0,1.0
nonseg_rankcloak,nonseg_hex_nibble_b16__paper_sha256_hex_000__raw_hex_nibbles__b16__recipe_long_specific,paper_sha256_hex_000,sha256_hex,nonseg_hex_nibble_b16,raw_hex_nibbles,recipe_long_specific,recipe,,64,260,1,0.173076923076923,0.0423076923076923,0.0076923076923076,0.7615384615384615,0.859375,0.140625,-4.564438522621933,-4.432685852044847,8.5625,15.0,0,False,False,False,False,False,False,False,False,non-segmented exact-copy RankCloak cover,1.0,1.0
nonseg_rankcloak,nonseg_ascii_b16__paper_random_128_bit_hex_000__ascii_bytes_fixed_radix__b16__recipe_long_specific,paper_random_128_bit_hex_000,random_128_bit_hex,nonseg_ascii_b16,ascii_bytes_fixed_radix,recipe_long_specific,recipe,,64,281,3,0.199288256227758,0.0427046263345195,0.0,0.7580071174377224,0.859375,0.140625,-3.947489622336105,-3.623850448254316,5.109375,9.0,1,False,False,False,False,False,False,False,True,non-segmented exact-copy RankCloak cover,1.0,1.0
nonseg_rankcloak,nonseg_hex_nibble_b16__paper_random_128_bit_hex_000__raw_hex_nibbles__b16__recipe_long_specific,paper_random_128_bit_hex_000,random_128_bit_hex,nonseg_hex_nibble_b16,raw_hex_nibbles,recipe_long_specific,recipe,,32,145,1,0.1517241379310344,0.0344827586206896,0.0,0.8,0.96875,0.03125,-5.077420874068341,-4.799328455289418,7.90625,15.0,0,False,False,False,False,False,False,False,False,non-segmented exact-copy RankCloak cover,1.0,1.0
segmented_leadin,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,1.0,0,0,0,,,,,,,,,,,0,False,False,False,False,False,False,False,False,greedy lead-in ignored by decoder,,
segmented_forced_prefix,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,1.0,8,40,1,0.1,0.0,0.0,0.85,1.0,0.0,-4.910136006244565,-4.211500057992815,9.0,16.0,0,False,False,False,False,False,False,False,False,payload-bearing forced prefix,1.0,1.0
segmented_tail,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,1.0,26,102,1,0.1666666666666666,0.0294117647058823,0.0,0.803921568627451,0.8846153846153846,0.1153846153846154,-0.6467711363458873,-0.4190517311755393,1.0,1.0,0,False,False,False,False,False,False,False,False,greedy natural tail ignored by decoder,1.0,1.0
segmented_full_message,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,1.0,34,142,1,0.1478873239436619,0.0211267605633802,0.0,0.8169014084507042,0.8823529411764706,0.1176470588235294,-1.6499158116161643,-0.7356906496734545,2.8823529411764706,13.399999999999991,0,False,False,False,False,False,False,False,False,full public message including optional lead-in and tail,1.0,1.0
segmented_leadin,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,2.0,0,0,0,,,,,,,,,,,0,False,False,False,False,False,False,False,False,greedy lead-in ignored by decoder,,
segmented_forced_prefix,segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,segmented_hex_single_topic_sentence_tail_filtered,raw_hex_nibbles,recipe_long_specific,recipe,2.0,8,43,1,0.1627906976744186,0.0,0.0,0.8372093023255814,1.0,0.0,-5.428981794819999,-3.829967798001988,7.0,11.0,0,False,False,False,False,False,False,False,False,payload-bearing forced prefix,1.0,1.0
