payload_name,payload_kind,payload_byte_length,encoding_name,alphabet_size,rank_count,exact_roundtrip,notes
sha256_public_test_string,sha256_hex,64,hex_character,16,128,True,lowercase hex characters map directly to ranks 1..16
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,2,512,True,metadata stores original byte length and padding bits
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,4,256,True,metadata stores original byte length and padding bits
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,8,171,True,metadata stores original byte length and padding bits
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,16,128,True,metadata stores original byte length and padding bits
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,32,103,True,metadata stores original byte length and padding bits
sha256_public_test_string,sha256_hex,64,fixed_radix_bits,64,86,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,hex_character,16,64,True,lowercase hex characters map directly to ranks 1..16
random_128_bit_hex,random_hex,32,fixed_radix_bits,2,256,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,fixed_radix_bits,4,128,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,fixed_radix_bits,8,86,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,fixed_radix_bits,16,64,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,fixed_radix_bits,32,52,True,metadata stores original byte length and padding bits
random_128_bit_hex,random_hex,32,fixed_radix_bits,64,43,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,hex_character,16,128,True,lowercase hex characters map directly to ranks 1..16
random_256_bit_hex,random_hex,64,fixed_radix_bits,2,512,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,fixed_radix_bits,4,256,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,fixed_radix_bits,8,171,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,fixed_radix_bits,16,128,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,fixed_radix_bits,32,103,True,metadata stores original byte length and padding bits
random_256_bit_hex,random_hex,64,fixed_radix_bits,64,86,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,hex_character,16,48,True,lowercase hex characters map directly to ranks 1..16
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,2,192,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,4,96,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,8,64,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,16,48,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,32,39,True,metadata stores original byte length and padding bits
nonce_96_bit_hex,nonce_hex,24,fixed_radix_bits,64,32,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,hex_character,16,72,True,lowercase hex characters map directly to ranks 1..16
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,2,288,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,4,144,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,8,96,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,16,72,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,32,58,True,metadata stores original byte length and padding bits
synthetic_uuid_v4_like,uuid,36,fixed_radix_bits,64,48,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,hex_character,16,110,True,lowercase hex characters map directly to ranks 1..16
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,2,440,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,4,220,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,8,147,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,16,110,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,32,88,True,metadata stores original byte length and padding bits
synthetic_bearer_token_like,bearer_like,55,fixed_radix_bits,64,74,True,metadata stores original byte length and padding bits
synthetic_hmac_like_tag,hmac_like,81,hex_character,16,162,True,lowercase hex characters map directly to ranks 1..16
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,2,648,True,metadata stores original byte length and padding bits
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,4,324,True,metadata stores original byte length and padding bits
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,8,216,True,metadata stores original byte length and padding bits
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,16,162,True,metadata stores original byte length and padding bits
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,32,130,True,metadata stores original byte length and padding bits
