preprocess_schema_version,input_run_identity_sha256,evidence_status,evidence_family,study_phase,record_type,work_kind,trial_id,control_id,work_id,source_trial_id,source_record_sha256,model_id,source_model_id,tokenizer_id,tokenizer_revision,tokenizer_artifact_sha256,payload_name,payload_class,payload_split,protocol_variant,prompt_id,prompt_category,language,token_filter,ablation_factor,ablation_level,robustness_family,replay_mode,transformation_id,reason_code,reason,safe_count,stable_count,vocabulary_size,dependency_role,dependency_record_type,root_condition_work_id,root_condition_trial_id,root_condition_reason_code,root_condition_model_id,root_condition_tokenizer_id,excluded_from_estimands
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__ed935dc9f32a3f16a1fe,,revision_v1_ablation_v2_payload_fidelity_v2__ed935dc9f32a3f16a1fe,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_000,sha256_hex,train,segmented_hex_multi_topic,forum_learning_answer,forum_question_answer,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__ed935dc9f32a3f16a1fe,revision_v1_ablation_v2_payload_fidelity_v2__ed935dc9f32a3f16a1fe,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__c918c33c7c1c3c174fbf,,revision_v1_ablation_v2_payload_fidelity_v2__c918c33c7c1c3c174fbf,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_001,sha256_hex,train,segmented_hex_multi_topic,procedure_garden_task,recipe_procedure,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__c918c33c7c1c3c174fbf,revision_v1_ablation_v2_payload_fidelity_v2__c918c33c7c1c3c174fbf,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__91fb468639be58d909a6,,revision_v1_ablation_v2_payload_fidelity_v2__91fb468639be58d909a6,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_002,sha256_hex,train,segmented_hex_multi_topic,narrative_learning_moment,personal_narrative_blog,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__91fb468639be58d909a6,revision_v1_ablation_v2_payload_fidelity_v2__91fb468639be58d909a6,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__d6d11166925eedda2663,,revision_v1_ablation_v2_payload_fidelity_v2__d6d11166925eedda2663,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_003,sha256_hex,train,segmented_hex_multi_topic,explain_biological_process,factual_explanatory,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__d6d11166925eedda2663,revision_v1_ablation_v2_payload_fidelity_v2__d6d11166925eedda2663,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__0b4d8924ab0469e31d64,,revision_v1_ablation_v2_payload_fidelity_v2__0b4d8924ab0469e31d64,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_004,sha256_hex,train,segmented_hex_multi_topic,casual_neighborhood_chat,casual_conversation,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__0b4d8924ab0469e31d64,revision_v1_ablation_v2_payload_fidelity_v2__0b4d8924ab0469e31d64,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__cca9353bf47cdf7b4388,,revision_v1_ablation_v2_payload_fidelity_v2__cca9353bf47cdf7b4388,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_005,sha256_hex,train,segmented_hex_multi_topic,professional_process_email,professional_communication,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__cca9353bf47cdf7b4388,revision_v1_ablation_v2_payload_fidelity_v2__cca9353bf47cdf7b4388,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__5a057d907eecd71aad6e,,revision_v1_ablation_v2_payload_fidelity_v2__5a057d907eecd71aad6e,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_006,sha256_hex,train,segmented_hex_multi_topic,forum_practical_answer,forum_question_answer,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__5a057d907eecd71aad6e,revision_v1_ablation_v2_payload_fidelity_v2__5a057d907eecd71aad6e,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__cf9acab715fd2060f3d7,,revision_v1_ablation_v2_payload_fidelity_v2__cf9acab715fd2060f3d7,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_007,sha256_hex,train,segmented_hex_multi_topic,procedure_simple_meal,recipe_procedure,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__cf9acab715fd2060f3d7,revision_v1_ablation_v2_payload_fidelity_v2__cf9acab715fd2060f3d7,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__bc20a2b687103a15c6e4,,revision_v1_ablation_v2_payload_fidelity_v2__bc20a2b687103a15c6e4,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_008,sha256_hex,train,segmented_hex_multi_topic,narrative_small_discovery,personal_narrative_blog,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__bc20a2b687103a15c6e4,revision_v1_ablation_v2_payload_fidelity_v2__bc20a2b687103a15c6e4,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__7025274a8f2c1c28d847,,revision_v1_ablation_v2_payload_fidelity_v2__7025274a8f2c1c28d847,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_009,sha256_hex,train,segmented_hex_multi_topic,explain_weather_pattern,factual_explanatory,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__7025274a8f2c1c28d847,revision_v1_ablation_v2_payload_fidelity_v2__7025274a8f2c1c28d847,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
2.0,e1109ea70cf0a11a0bbaf65378c39fef752d6873ed9ac6f401a3bbbc60c3f343,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,confirmatory,ablation_v2_confirmatory,condition_unavailable,rankcloak,revision_v1_ablation_v2_payload_fidelity_v2__d12658a140c376dfd1d1,,revision_v1_ablation_v2_payload_fidelity_v2__d12658a140c376dfd1d1,,,mistral_7b_instruct_v0_3_q4_k_m,,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,revision_v1_sha256_hex_010,sha256_hex,train,segmented_hex_multi_topic,casual_weekend_chat,casual_conversation,en,roundtrip_stable_filter_v1,token_filter,roundtrip_stable_filter_v1,,,,empty_isolated_roundtrip_vocabulary,No token satisfies safe_text=true and isolated detokenize-to-retokenize exactness for the pinned tokenizer.,31464,0,32768,,,revision_v1_ablation_v2_payload_fidelity_v2__d12658a140c376dfd1d1,revision_v1_ablation_v2_payload_fidelity_v2__d12658a140c376dfd1d1,empty_isolated_roundtrip_vocabulary,mistral_7b_instruct_v0_3_q4_k_m,bartowski/Mistral-7B-Instruct-v0.3-GGUF::Mistral-7B-Instruct-v0.3-Q4_K_M.gguf::embedded_gguf,True
