preprocess_schema_version,input_run_identity_sha256,evidence_status,evidence_family,study_phase,record_type,trial_id,work_id,source_trial_id,source_record_sha256,transform_work_id,transformation_model_id,transformation_record_sha256,model_id,source_model_id,payload_name,payload_class,payload_split,prompt_id,prompt_category,language,protocol_variant,representation_name,codec_id,alphabet_size_B,segmented,segment_count,segment_size_ranks,token_filter,tail_policy,leadin_tokens,topic_schedule,ablation_factor,ablation_level,robustness_family,replay_mode,transformation_id,mitigation_id,protocol_contract_revision,result_schema_revision,exact_rank_replay,exact_payload_recovery,recovery_outcome_semantics,exact_recovery,H_bits,artifact_bit_length,serialized_payload_bits,effective_representation_bits_per_full_token,effective_artifact_bits_per_full_token,effective_serialized_bits_per_full_token,effective_payload_rate,forced_token_count,tail_token_count,full_token_count,mean_log_probability,unavailable_fields
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,revision_v1_multilingual_v2_payload_fidelity_v2__3f2f9a97575b8264b82e,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-6.707588444201316,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,revision_v1_multilingual_v2_payload_fidelity_v2__aaeeec58094fcb91ca2f,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,es_casual_conversation_01,casual_conversation,es,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-4.6148409203151495,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,revision_v1_multilingual_v2_payload_fidelity_v2__1ae23c292e2c3f158648,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-6.929110449922726,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__80470bf1204f275e07c0,revision_v1_multilingual_v2_payload_fidelity_v2__80470bf1204f275e07c0,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,zh_hans_casual_conversation_01,casual_conversation,zh_hans,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.58615773534303,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__e93d75dd9e6a3a677064,revision_v1_multilingual_v2_payload_fidelity_v2__e93d75dd9e6a3a677064,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,es_professional_communication_01,professional_communication,es,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-7.01027346449474,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__010d844314b672bc8247,revision_v1_multilingual_v2_payload_fidelity_v2__010d844314b672bc8247,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,es_professional_communication_01,professional_communication,es,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.775577551152887,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__a3f12e6fb9ee105419ea,revision_v1_multilingual_v2_payload_fidelity_v2__a3f12e6fb9ee105419ea,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,zh_hans_professional_communication_01,professional_communication,zh_hans,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-6.685142997440551,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__d5304414a4cc2df59c79,revision_v1_multilingual_v2_payload_fidelity_v2__d5304414a4cc2df59c79,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,zh_hans_professional_communication_01,professional_communication,zh_hans,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.8614457399743527,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__8888853026103c5593e5,revision_v1_multilingual_v2_payload_fidelity_v2__8888853026103c5593e5,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,sha256_hex,train,es_forum_question_answer_01,forum_question_answer,es,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-7.004494012240727,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__e2f7d2d4b70cbcac4004,revision_v1_multilingual_v2_payload_fidelity_v2__e2f7d2d4b70cbcac4004,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,sha256_hex,train,es_forum_question_answer_01,forum_question_answer,es,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-4.248704945232099,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__b8d7da66e0004895a384,revision_v1_multilingual_v2_payload_fidelity_v2__b8d7da66e0004895a384,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,sha256_hex,train,zh_hans_forum_question_answer_01,forum_question_answer,zh_hans,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-6.731722214088609,
2.0,745382f57e9cc83666635159aa26a118606c9b14f1bdb680061e9812cb64b165,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,secondary_supplementary,multilingual_v2_secondary,rankcloak_trial,revision_v1_multilingual_v2_payload_fidelity_v2__73675b4d9f48edbd328a,revision_v1_multilingual_v2_payload_fidelity_v2__73675b4d9f48edbd328a,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,sha256_hex,train,zh_hans_forum_question_answer_01,forum_question_answer,zh_hans,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.772253934690137,
