detector_name,regime,metric,evidence_status,higher_is_better,split_count,estimate_median_across_splits,estimate_min_across_splits,estimate_max_across_splits,test_rows_sum_across_splits,payload_groups_sum_across_splits,cross_split_interval,regime_order,detector_order,outcome_order,display_detector,display_regime,interval_low,interval_high,interval_semantics
published_textcnn_equivalent,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9901902867054382,0.9901902867054382,0.9901902867054382,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,0,TextCNN,Matched,0.9877396959826756,0.992681690079778,payload_group_bootstrap_95_ci
deberta_v3_base_classifier,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9998339455157635,0.9998339455157635,0.9998339455157635,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,0,DeBERTa-v3-base,Matched,0.9996956270916836,0.9999390431887746,payload_group_bootstrap_95_ci
published_textcnn_equivalent,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9547042871900828,0.7204209710743802,0.9817045454545454,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,0,TextCNN,"Held-out
template",0.7204209710743802,0.9817045454545454,heterogeneous_split_min_max_range
deberta_v3_base_classifier,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9997184917355372,0.9962913223140496,0.9999793388429752,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,0,DeBERTa-v3-base,"Held-out
template",0.9962913223140496,0.9999793388429752,heterogeneous_split_min_max_range
published_textcnn_equivalent,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.9626193755739212,0.9256232782369146,0.9736501377410468,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,0,TextCNN,"Leave-one
model",0.9256232782369146,0.9736501377410468,heterogeneous_split_min_max_range
deberta_v3_base_classifier,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.999451331496786,0.9967722681359044,0.9999793388429752,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,0,DeBERTa-v3-base,"Leave-one
model",0.9967722681359044,0.9999793388429752,heterogeneous_split_min_max_range
published_textcnn_equivalent,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9858757716049382,0.9665316358024691,0.9986342592592592,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,0,TextCNN,"Leave-one
codec",0.9665316358024691,0.9986342592592592,heterogeneous_split_min_max_range
deberta_v3_base_classifier,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9994251543209876,0.9979166666666668,1.0,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,0,DeBERTa-v3-base,"Leave-one
codec",0.9979166666666668,1.0,heterogeneous_split_min_max_range
published_textcnn_equivalent,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.9510101010101012,0.9510101010101012,0.9510101010101012,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,2,TextCNN,Matched,0.9434562289562288,0.958465716887848,payload_group_bootstrap_95_ci
deberta_v3_base_classifier,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.991919191919192,0.991919191919192,0.991919191919192,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,2,DeBERTa-v3-base,Matched,0.9876538231780166,0.995665034491254,payload_group_bootstrap_95_ci
