source_stage,protocol_variant,tail_policy,n,mean_theoretical_n_B,mean_observed_n_forced,forced_residual_max_abs,tail_median,tail_q05,tail_q95,tail_max,display_stage,display_protocol,display_tail,display_label,display_tail_label,panel,panel_order
ablation_v2,segmented_hex_multi_topic,dynamic_completion_v1,1392,46.0,46.0,0.0,181.0,27.0,643.45,1830.0,Ablation,Segmented multi-topic,Dynamic completion,Ablation · Segmented multi-topic · Dynamic completion,Ablation · Multi-topic · Dynamic,capacity,0
ablation_v2,segmented_hex_multi_topic,none,144,46.0,46.0,0.0,0.0,0.0,0.0,0.0,Ablation,Segmented multi-topic,No tail,Ablation · Segmented multi-topic · No tail,Ablation · Multi-topic,capacity,1
ablation_v2,segmented_hex_multi_topic,sentence_tail_min20_max60,144,46.0,46.0,0.0,202.0,84.0,302.85,325.0,Ablation,Segmented multi-topic,Fixed sentence tail,Ablation · Segmented multi-topic · Fixed sentence tail,Ablation · Multi-topic · Fixed,capacity,2
multilingual_v2,nonseg_ascii_b16,none,288,109.0,109.0,0.0,0.0,0.0,0.0,0.0,Multilingual,ASCII B=16,No tail,Multilingual · ASCII B=16 · No tail,Multilingual · ASCII B=16,capacity,3
primary_v2,nonseg_ascii_b16,none,1440,109.0,109.0,0.0,0.0,0.0,0.0,0.0,Primary,ASCII B=16,No tail,Primary · ASCII B=16 · No tail,Primary · ASCII B=16,capacity,4
primary_v2,nonseg_ascii_b8,none,1440,145.625,145.625,0.0,0.0,0.0,0.0,0.0,Primary,ASCII B=8,No tail,Primary · ASCII B=8 · No tail,Primary · ASCII B=8,capacity,5
primary_v2,nonseg_hex_nibble_b16,none,720,46.0,46.0,0.0,0.0,0.0,0.0,0.0,Primary,Hex nibble B=16,No tail,Primary · Hex nibble B=16 · No tail,Primary · Hex nibble B=16,capacity,6
primary_v2,segmented_hex_multi_topic,dynamic_completion_v1,720,46.0,46.0,0.0,197.5,46.0,657.3499999999997,1315.0,Primary,Segmented multi-topic,Dynamic completion,Primary · Segmented multi-topic · Dynamic completion,Primary · Multi-topic · Dynamic,capacity,7
primary_v2,segmented_hex_single_topic,dynamic_completion_v1,720,46.0,46.0,0.0,189.0,44.0,671.0,1193.0,Primary,Segmented single-topic,Dynamic completion,Primary · Segmented single-topic · Dynamic completion,Primary · Single-topic · Dynamic,capacity,8
ablation_v2,segmented_hex_multi_topic,none,144,46.0,46.0,0.0,0.0,0.0,0.0,0.0,Ablation,Segmented multi-topic,No tail,Ablation · Segmented multi-topic · No tail,Ablation · Multi-topic,tail_overhead,0
multilingual_v2,nonseg_ascii_b16,none,288,109.0,109.0,0.0,0.0,0.0,0.0,0.0,Multilingual,ASCII B=16,No tail,Multilingual · ASCII B=16 · No tail,Multilingual · ASCII B=16,tail_overhead,1
primary_v2,nonseg_ascii_b16,none,1440,109.0,109.0,0.0,0.0,0.0,0.0,0.0,Primary,ASCII B=16,No tail,Primary · ASCII B=16 · No tail,Primary · ASCII B=16,tail_overhead,2
primary_v2,nonseg_ascii_b8,none,1440,145.625,145.625,0.0,0.0,0.0,0.0,0.0,Primary,ASCII B=8,No tail,Primary · ASCII B=8 · No tail,Primary · ASCII B=8,tail_overhead,3
primary_v2,nonseg_hex_nibble_b16,none,720,46.0,46.0,0.0,0.0,0.0,0.0,0.0,Primary,Hex nibble B=16,No tail,Primary · Hex nibble B=16 · No tail,Primary · Hex nibble B=16,tail_overhead,4
ablation_v2,segmented_hex_multi_topic,dynamic_completion_v1,1392,46.0,46.0,0.0,181.0,27.0,643.45,1830.0,Ablation,Segmented multi-topic,Dynamic completion,Ablation · Segmented multi-topic · Dynamic completion,Ablation · Multi-topic · Dynamic,tail_overhead,5
primary_v2,segmented_hex_single_topic,dynamic_completion_v1,720,46.0,46.0,0.0,189.0,44.0,671.0,1193.0,Primary,Segmented single-topic,Dynamic completion,Primary · Segmented single-topic · Dynamic completion,Primary · Single-topic · Dynamic,tail_overhead,6
primary_v2,segmented_hex_multi_topic,dynamic_completion_v1,720,46.0,46.0,0.0,197.5,46.0,657.3499999999997,1315.0,Primary,Segmented multi-topic,Dynamic completion,Primary · Segmented multi-topic · Dynamic completion,Primary · Multi-topic · Dynamic,tail_overhead,7
ablation_v2,segmented_hex_multi_topic,sentence_tail_min20_max60,144,46.0,46.0,0.0,202.0,84.0,302.85,325.0,Ablation,Segmented multi-topic,Fixed sentence tail,Ablation · Segmented multi-topic · Fixed sentence tail,Ablation · Multi-topic · Fixed,tail_overhead,8
