source_stage,model_id,hardware_id,hardware_hash,session_index,model_load_seconds,peak_ram_availability,peak_gpu_memory_availability
ablation_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.533998615021119,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
ablation_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.07583840796724,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
ablation_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.375221409020014,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
multilingual_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.5693006879882887,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
multilingual_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.079303484992124,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
multilingual_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.381757404014934,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
primary_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.576457356015453,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
primary_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.0833585119980853,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
primary_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.3616591109894216,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
robustness_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.560559208970517,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
robustness_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.06757384800585,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
robustness_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,2.357074830972124,unavailable_not_recorded_by_runner_v1,unavailable_not_recorded_by_runner_v1
