source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,14.40957571013405,5.933690756106485,14.419348658034627,48,2000,12.80699783038183,16.158020845271338,2000,0.95
ablation_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,10.016297940506334,4.090198322702881,9.62814558044457,48,2000,8.933279152886387,11.140840612387489,2000,0.95
ablation_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,12.734978260835911,5.194261089415764,12.690593798741853,48,2000,11.334587687251853,14.233609977899851,2000,0.95
multilingual_v2,ordinary_control_generation,llama3_8b_instruct_q4_k_m,ordinary_llm_control,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,3.111370496884471,0.9646325487715032,3.4398597547551617,48,2000,2.8424095516993324,3.3886110486883045,2000,0.95
multilingual_v2,ordinary_control_generation,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,2.5468037507286376,0.6490276493995017,2.7984481662424514,48,2000,2.3660053618717485,2.7336734500022577,2000,0.95
multilingual_v2,ordinary_control_generation,qwen2_5_7b_instruct_q4_k_m,ordinary_llm_control,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,3.3335548143165092,1.0174510570011486,3.725244696746813,48,2000,3.0496921562499364,3.622613642837078,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,2.199770909468498,0.6975833996316358,2.2117476090061245,48,2000,2.0028549337691097,2.4052186952949492,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,6.7462979842487885,2.301126466847459,7.627703328471398,48,2000,6.0969192376370005,7.4021066592526035,2000,0.95
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,1.9366805746764537,0.40662822158961853,2.074894180521369,48,2000,1.8204490039675116,2.058390062019907,2000,0.95
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,3.737804824102568,1.1239991181583529,4.186529654747574,48,2000,3.4221441940065382,4.0594261928329916,2000,0.95
multilingual_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,2.6873210771360996,0.7313312873520488,2.8394522690068698,48,2000,2.4785248679589738,2.901150389111884,2000,0.95
