outcome,factor,level_first,level_second,analysis_unit,comparison_design,n_payloads_first,n_payloads_second,n_payloads_overlap,n_payloads_paired,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,confidence_level,bootstrap_unit,bootstrap_design,bootstrap_resamples,bootstrap_resamples_valid,primary_inference,inference_role,inferential_p_value_supported,view_scope,evidence_status_scope,study_phase_scope,protocol_contract_revision_scope,result_schema_revision_scope,effect_type,hedges_g,p_value_raw,test,p_value_holm,p_value_bh
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,0,73.16462566844923,55.2832274728726,17.88139819557663,-1.8513141407506102,42.491871243670474,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.8472981041278985,0.29314310700197715,welch_t,1.0,0.6215467559058739
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,0,73.16462566844923,42.33022216282043,30.834403505628806,17.961404477499826,43.26716216406006,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,2.273286461389716,0.02744402112389607,welch_t,1.0,0.30332865452727237
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0,73.16462566844923,59.189283559577696,13.975342108871537,5.662823255176214,28.589625668449216,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.9936585626696293,0.20826087388937561,welch_t,1.0,0.619791015174287
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0,73.16462566844923,46.85528513488577,26.309340533563464,14.603201317387486,38.14662420923374,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,1.3900711295948467,0.012200437991052998,welch_t,1.0,0.17080613187474197
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,0,73.16462566844923,31.511076349344616,41.65354931910461,15.002752586607768,62.663714009486704,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,1.8019982863148964,0.08237549085765655,welch_t,1.0,0.5160856128496223
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,0,55.2832274728726,42.33022216282043,12.953005310052177,-15.205026167160419,32.4219076228745,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.5870913595230661,0.43296388632766786,welch_t,1.0,0.6480319747951878
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0,55.2832274728726,59.189283559577696,-3.9060560867050924,-25.10290026016621,21.360907970735454,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,-0.17457750680130096,0.8055070574780898,welch_t,1.0,0.8768753063995182
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0,55.2832274728726,46.85528513488577,8.427942337986835,-11.372727044247602,30.598255783801296,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.41342271070596004,0.5843083499306946,welch_t,1.0,0.741896467270958
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,0,55.2832274728726,31.511076349344616,23.772151123527987,-4.3902310837142,52.87584218737234,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.8216305928338798,0.2775808190807267,welch_t,1.0,0.619791015174287
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0,42.33022216282043,59.189283559577696,-16.85906139675727,-31.366187342331486,0.9096896350469619,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,-1.0900480244650095,0.17072214276219994,welch_t,1.0,0.619791015174287
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0,42.33022216282043,46.85528513488577,-4.525062972065342,-15.523828647211458,13.352644376493362,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,-0.23650975206664251,0.6229965102498631,welch_t,1.0,0.7427375537843397
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,0,42.33022216282043,31.511076349344616,10.81914581347581,-16.098908271962216,38.39284685939858,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.4509115454761723,0.5408679457257055,welch_t,1.0,0.7188751177366972
flesch_reading_ease_heuristic,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,partially_overlapping_payload,3,14,2,0,59.189283559577696,46.85528513488577,12.333998424691927,-7.490886801021477,26.8535518875586,0.95,payload,payload_cluster_partial_overlap,100,97,False,descriptive_exploratory_pairwise,False,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.6423610209873993,,unsupported_partial_payload_overlap,,
flesch_reading_ease_heuristic,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,partially_overlapping_payload,3,3,2,0,59.189283559577696,31.511076349344616,27.67820721023308,-3.5575127877237946,53.28086345857531,0.95,payload,payload_cluster_partial_overlap,100,98,False,descriptive_exploratory_pairwise,False,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,1.139934691954383,,unsupported_partial_payload_overlap,,
flesch_reading_ease_heuristic,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,partially_overlapping_payload,14,3,2,0,46.85528513488577,31.511076349344616,15.344208785541152,-14.047524597331245,37.928498503581885,0.95,payload,payload_cluster_partial_overlap,100,99,False,descriptive_exploratory_pairwise,False,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,0.7378836502672683,,unsupported_partial_payload_overlap,,
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,0,0.0,0.009587219767632105,-0.009587219767632105,-0.010184912452953653,-0.00902281746031743,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,-15.662333788281178,0.0017347804175542587,welch_t,0.35909954643373154,0.0404782097429327
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,0,0.0,0.005847953216374287,-0.005847953216374287,-0.011695906432748574,0.0,0.95,payload,independent_payload,100,100,False,descriptive_exploratory_pairwise,True,forced_span,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,payload_fidelity_v2,payload_aware_result_v2,mean_difference,-0.6531972647421808,0.42264973081037427,welch_t,1.0,0.647857251607143
