artifact,sha256,bytes,source,command
results/revision_v3/generation/analysis/entropy_detector_corpus.csv,3e86d605a53f7bbfb2c6ff7264535fde43a4a5041d230974b3676082efbb0149,948241,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/generation/analysis/quantization_detector_corpus.csv,d144fb56e223ef0c7b72b8c69e9d11d0040fcfaa4032885fd2cee08d16f6cbf9,5194879,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_calibration_thresholds.csv,355aa080113397435456d97d0f71dcf283b838dbcc3f7886428900221739c373,825,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_calibration_traces.csv,5af1bc5a797c78c5d2cba20c6c6461003e4311fac4802ba457a5b5927949e312,5023,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_generation_summary.csv,35943dbd3c4884592263daf41fa3cb16a506f1a41eaf0df121558640e148e161,374546,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_generation_trials.csv,f52c242fad94f8026a26c303c82828b08711034f8e15af509ccc9c42185b6a9d,498931,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_paired_difference_summary.csv,dd5e4d30df7827bdf817a1c2a09ffda43d7a2351d6030239dee47f4f7bf18edb,3674,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_paired_differences.csv,cff73d27dc6418b13e1321ada731d5ea8c41afdaea05fd602eaa4150cdaf2205,69324,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_position_summary.csv,30ad69fe3ec8efab2321da2a6f3c834ec7bc863ecd1d6c523c9a2f2c027ceb38,29514,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_rankcloak_control_difference_summary.csv,678717f64eedefbce4805624c6f65e8c1fb2a861ed5b407f7c404cca565db072,10972,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/entropy_rankcloak_control_differences.csv,1feb66ae243cae5658da1678e6e517f33b416ad571ceeb37aac3ff0e551d9cb1,156259,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_generation_summary.csv,870213f0eeb3148a5ab182972a1f0f6df462ac828da8d0e2985db7bd1961d307,85121,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_generation_trials.csv,d18618c6fe4db2216e95d88b82a63257a954d45d241fe8568d66640323ae71d4,2849623,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_pair_comparison.csv,ff3c7ed9ef3a1cf6a3fe3fde911c4c79c8d071893cbfbbfa25b8c1e4e3984019,560027,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_pair_summary.csv,95b9df24e4de7a3ef65e09f40f11fc569392e11864312949c4df7a0cac31ad5c,32759,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_position_summary.csv,4a6f97b944453c1aa861fe7d5093bb216e116db235a49bd7c3c5834f5e781cdd,4643,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_recovery_pairs.csv,fa23423ce63d03e1fb56224cc61f0733dcc9a1b128b2e5a2a01723eafd8ff475,215138,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
results/revision_v3/source_tables/quantization_recovery_summary.csv,b605db6462d2cb5ead9b5d3128a6de68addb0eced94aa4720885decd347ee44c,9753,model-backed generation JSON ledgers,.venv/bin/python scripts/analyze_revision_v3_generation.py
