pair_id,model_id,payload_name,payload_class,single_trial_id,multi_trial_id,exact_outputs_unique,normalized_outputs_unique,normalized_character_edit_distance,token_jaccard_similarity,single_character_count,multi_character_count,single_full_token_count,multi_full_token_count,single_saved_id_exact_recovery,multi_saved_id_exact_recovery,single_visible_text_exact_recovery,multi_visible_text_exact_recovery,single_text_sha256,multi_text_sha256,deterministic_example_order
topic-pair-e30dc288745a32bcbf2a83c0,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_000,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__be8c2622b3ff745afaca,revision_v1_primary_v2_payload_fidelity_v2__c0429c3641c6d12b68a8,True,True,0.3891419893697798,0.2361111111111111,2227,2634,497,587,True,True,,,5477ff6e3ca4d2fcb436d1336266205956714b3758d0982dc3188b7837e43214,b7ffed36266e04dcbdde81efae5ffeb3f5829fb30c9c7c25649d480ce4cc78f3,b0adba6119aa739afa1e25a73e098f8929c58d04687e77c8fbca8a9c5c10a015
topic-pair-16b381465b57f17a59f6ef9a,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_001,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__02c58f9ac4951f89c1c7,revision_v1_primary_v2_payload_fidelity_v2__4d064ce34de5c0ac85ec,True,True,0.7110047846889952,0.21804511278195488,2090,1442,442,476,True,True,,,ea1f9cbea7ef06531f6796867725180b313d3fdda44b927d16f9ab050eb62faf,5685d536558dfd5cb10dcab2dcb98b6eca813ba1840dd293517cf9023f084375,063aafe4b335ba438fb2fa664df729ccfb1d49d014daf27fbd1a35c604fc72eb
topic-pair-498be45f8c5623081a87bae9,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__06c393c6572f1e9d8fb9,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,True,True,0.6663542642924086,0.18661971830985916,1760,2134,420,452,True,True,,,eb8c34724aaddc1a59d99f1b5ad9a59af3873591af7afeae9dfe8ccd32edf15b,739e617a632cd142a59a862cc5fe66e8f9d000d6e325816e7221f80c1fcc4da9,f452a4511a1a88fdea5953061c0521836a6eced72157b6f08da631e0b843486c
topic-pair-bf1a77ad37685f5d26fffcaa,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__cd56a196e015d4a0206b,revision_v1_primary_v2_payload_fidelity_v2__4e02af22508683cbf135,True,True,0.7103321033210332,0.1492204899777283,3138,3252,664,669,True,True,,,6ec35380c884cbf2014fcd05c67df6c0e61287a951417bf70f49ddd56772f6b9,1c217e269ac4ddcd25fa81ded9dd0eefc32ad2569e317ef40e44e8d657474998,ebf1c43e3f965f216f7a338f1d06043112413d4f1cf998dc9337ef57c7ccce8b
topic-pair-f7849fdae784e4439c32f80b,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_004,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__70729d8b86dcf7222bec,revision_v1_primary_v2_payload_fidelity_v2__a9d35cff1ad6264eacd6,True,True,0.7519915029208709,0.15942028985507245,3766,1270,731,243,True,True,,,73162a5cafbae0a948b512ce34c9801b26589a2784b9cd92d517ca7f291e6aa8,858556f85302170fb738bb4bab38550e3eb2cae337d206569bddd6e29023cd62,7fdb1b8462c9986e2a51973fb1f16182a5e35c434976d9c066a890907f650e8b
topic-pair-5dfd39ce3f66e7fd3435bce9,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__2e66af00f10a681ec40e,revision_v1_primary_v2_payload_fidelity_v2__92cfd708ab71bc950df8,True,True,0.7188630490956073,0.17293233082706766,1935,1108,416,236,True,True,,,f4827ea338458bb15a6229b86fa82aeefb117c1cb3fade915621dd84fb22ab4b,eaab7915dae98816a31a84573d2d434ba7df79ff01eb7920b31a2184a2bc518c,aacbcb1b899e484e855a3492b48a4e2dd9e842921ff4b0ce240c994238b56a5b
topic-pair-ad824ae444d913a1c57aa442,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_006,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__dd1dbf58937be89e35be,revision_v1_primary_v2_payload_fidelity_v2__d6fdf54779bf9651370b,True,True,0.314369995785925,0.522633744855967,2261,2373,462,507,True,True,,,f35357254c9c3b9404fa0c19ac6812d1f932a02975c3592ab0636b67b01c4f44,c2cdb88c18d8863aa63f598f0b848cc4941b5c387c4a65317d6abd3359e4e326,9e95f12aa0bcb680ba5c4b669457192bda3f3251f214a0e2e0ea3eb6e5a9c394
topic-pair-6153a264001a6879f210ce27,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_007,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__8f1e3fa4ca64a2b457b3,revision_v1_primary_v2_payload_fidelity_v2__119763f10f89f1e6d880,True,True,0.6198830409356725,0.24731182795698925,859,1368,199,294,True,True,,,c2cd63adf501ea817efcede633cde3965ebaad249b9bad9d31c6ef79ff445ec7,e4c2c44cba88ad73734fa48b2da95e704181edff8cf6de63261180aa739887d7,16a8312a76189fb14bbcc70b789f64e4f3c8bed03e9d7249ff84da7c5492717d
topic-pair-ecfed1e84be8dac6d118fabf,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_008,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__1d9640d0a1229487ca0f,revision_v1_primary_v2_payload_fidelity_v2__eab0ebfef6a55a0246cc,True,True,0.7321150855365475,0.2112676056338028,1142,2572,259,529,True,True,,,1ba33773593f9f34d765271e01e7cc3f88e6d1db8e26a48d9df1dc7010f8ea34,15ffdcf04692961eb019408c62d166172b54bec82ae1d8bd72018671c6321b20,0b9de213827d27718b285ba1110088eeb2761d386f7a14f9116c84aaa42f3ef2
topic-pair-028192b9374d7c2533c05792,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_009,hmac_sha256_hex,revision_v1_primary_v2_payload_fidelity_v2__9ddb44cd285c5c334a81,revision_v1_primary_v2_payload_fidelity_v2__3a5616e605b1d3665f79,True,True,0.7200363196125908,0.20285714285714285,3304,1568,693,333,True,True,,,3061e3b97b569024d874e91a09f53005fbd8906ca5ce75de6558385a583b3e8e,1080edc5ab9a04d48a30433d26a8f13ae8590849105daefdb766e0ae0ebc93ad,36f51557aa312f1c7d28d1f11ac979ca865e49debd48e493b8532a5af614fda5
