archive_path,size_bytes,crc32
rankcloak-code-data-v1.0.0/,0,00000000
rankcloak-code-data-v1.0.0/release/,0,00000000
rankcloak-code-data-v1.0.0/release/revision_v1_template/,0,00000000
rankcloak-code-data-v1.0.0/release/revision_v1_template/release_spec.json,23281,97449e6e
rankcloak-code-data-v1.0.0/release/revision_v1_template/README.md,2972,ab46e627
rankcloak-code-data-v1.0.0/SHA256SUMS,50769,631cc5e8
rankcloak-code-data-v1.0.0/REPRODUCE.md,984,9f679f7a
rankcloak-code-data-v1.0.0/PACKAGE_MANIFEST.sha256,88,524522db
rankcloak-code-data-v1.0.0/project/,0,00000000
rankcloak-code-data-v1.0.0/project/README.md,19869,84122f8e
rankcloak-code-data-v1.0.0/pyproject.toml,850,e1d30a06
rankcloak-code-data-v1.0.0/CITATION.cff,508,afdc986f
rankcloak-code-data-v1.0.0/scripts/,0,00000000
rankcloak-code-data-v1.0.0/scripts/build_revision_primary_endpoint.py,2671,bd7ecc88
rankcloak-code-data-v1.0.0/scripts/run_revision_detectors.py,77331,cf2d95e9
rankcloak-code-data-v1.0.0/scripts/run_revision_matrix.py,197,971cd3e7
rankcloak-code-data-v1.0.0/scripts/run_revision_tokenizer_preflight.py,2535,c1ed4c4e
rankcloak-code-data-v1.0.0/scripts/build_revision_change_inventory.py,2852,950cde85
rankcloak-code-data-v1.0.0/scripts/build_revision_detector_leakage_audit.py,2647,e888c95c
rankcloak-code-data-v1.0.0/scripts/build_revision_reports.py,4756,aaa1c5f8
rankcloak-code-data-v1.0.0/scripts/build_revision_evidence_summary.py,3921,0ad83ef7
rankcloak-code-data-v1.0.0/scripts/build_revision_overhead.py,2508,2519cf93
rankcloak-code-data-v1.0.0/scripts/build_revision_theory_empirical.py,2027,f86b00e0
rankcloak-code-data-v1.0.0/scripts/invalidate_revision_shard.py,3002,ea90ce13
rankcloak-code-data-v1.0.0/scripts/build_revision_robustness_coverage.py,2630,860fa955
rankcloak-code-data-v1.0.0/scripts/build_revision_multilingual_endpoint.py,2557,c6bceaec
rankcloak-code-data-v1.0.0/scripts/build_revision_detector_leakage_sensitivity.py,2776,ffd79824
rankcloak-code-data-v1.0.0/scripts/run_smoke.py,426,c88472e7
rankcloak-code-data-v1.0.0/scripts/verify_revision_release.py,1419,2239f17a
rankcloak-code-data-v1.0.0/scripts/preprocess_revision_results.py,2148,b4174a06
rankcloak-code-data-v1.0.0/scripts/project_revision_compute.py,5005,5dff5422
rankcloak-code-data-v1.0.0/scripts/build_revision_package_index.py,3605,5c98cf70
rankcloak-code-data-v1.0.0/scripts/build_notebook.py,9730,db293bf0
rankcloak-code-data-v1.0.0/scripts/build_revision_readability.py,3187,04fbe9e5
rankcloak-code-data-v1.0.0/scripts/build_revision_confirmatory_release_index.py,262,82d4150d
rankcloak-code-data-v1.0.0/scripts/build_revision_theory.py,2461,fe462495
rankcloak-code-data-v1.0.0/scripts/build_detector_cuda_budget_gate.py,23420,fafe402e
rankcloak-code-data-v1.0.0/scripts/build_revision_detector_analysis.py,2438,e081b8e3
rankcloak-code-data-v1.0.0/scripts/run_experiment.py,349,66b375c0
rankcloak-code-data-v1.0.0/scripts/manage_legacy_gpu_ledger.py,5540,c026e323
rankcloak-code-data-v1.0.0/scripts/build_revision_robustness.py,2403,cf948f25
rankcloak-code-data-v1.0.0/scripts/build_revision_payload_manifest.py,3315,1407a9a4
rankcloak-code-data-v1.0.0/scripts/build_revision_ablation_evidence.py,2083,8d0ba1c6
rankcloak-code-data-v1.0.0/scripts/build_revision_release.py,408,75bed3d4
rankcloak-code-data-v1.0.0/scripts/supervise_confirmatory_v2.py,322014,ee54a07a
rankcloak-code-data-v1.0.0/scripts/audit_published_comparator.py,33509,6b0db9b1
rankcloak-code-data-v1.0.0/scripts/build_revision_detector_reference.py,2180,21d0af07
rankcloak-code-data-v1.0.0/scripts/run_revision_mixed_models.R,50166,390845be
rankcloak-code-data-v1.0.0/scripts/build_revision_figures.py,4581,e4494527
rankcloak-code-data-v1.0.0/scripts/build_revision_topic_effects.py,2362,d77d695a
rankcloak-code-data-v1.0.0/scripts/build_revision_environment_lock.py,78560,5bc6df89
rankcloak-code-data-v1.0.0/scripts/join_revision_evaluator_features.py,2344,9fd73c41
rankcloak-code-data-v1.0.0/scripts/update_revision_progress.py,3066,355dbe00
rankcloak-code-data-v1.0.0/scripts/build_revision_detector_benchmarks.py,2352,f185610e
rankcloak-code-data-v1.0.0/scripts/supervise_primary_v2.py,38802,542d6f52
rankcloak-code-data-v1.0.0/scripts/run_revision_evaluator.py,196,5f9136a8
rankcloak-code-data-v1.0.0/scripts/run_revision_statistics.py,5275,84608697
rankcloak-code-data-v1.0.0/scripts/refresh_revision_figure_parent_hashes.py,3101,83e2f7ac
rankcloak-code-data-v1.0.0/tests/,0,00000000
rankcloak-code-data-v1.0.0/tests/test_revision_figures.py,35265,b20a9724
rankcloak-code-data-v1.0.0/tests/test_revision_compute.py,21314,797c0b49
rankcloak-code-data-v1.0.0/tests/test_token_filters.py,621,6b20bff4
rankcloak-code-data-v1.0.0/tests/test_revision_detector_execution.py,61274,41439916
rankcloak-code-data-v1.0.0/tests/test_revision_theory_empirical.py,5398,fc377d57
rankcloak-code-data-v1.0.0/tests/test_rank_ordering.py,992,7fcf8507
rankcloak-code-data-v1.0.0/tests/test_revision_payloads.py,3104,1e2bb686
rankcloak-code-data-v1.0.0/tests/test_revision_config.py,7558,418f5cee
rankcloak-code-data-v1.0.0/tests/test_revision_environment_lock.py,17443,fd191dd1
rankcloak-code-data-v1.0.0/tests/test_revision_runner.py,33115,cfb2354d
rankcloak-code-data-v1.0.0/tests/test_revision_schemas.py,1436,1987fd27
rankcloak-code-data-v1.0.0/tests/test_revision_release.py,39481,24a5ff35
rankcloak-code-data-v1.0.0/tests/test_published_comparator_audit.py,9469,7a68cee4
rankcloak-code-data-v1.0.0/tests/test_prompts.py,1535,277f0821
rankcloak-code-data-v1.0.0/tests/test_bootstrap_statistics.py,772,51d46b3b
rankcloak-code-data-v1.0.0/tests/test_revision_evidence_summary.py,17649,756941c6
rankcloak-code-data-v1.0.0/tests/test_revision_readability.py,7805,0155d50d
rankcloak-code-data-v1.0.0/tests/test_revision_detector_leakage.py,9372,b82a5a4b
rankcloak-code-data-v1.0.0/tests/test_segmented_quality_schema.py,1116,a6cdcf84
rankcloak-code-data-v1.0.0/tests/test_revision_package_index.py,5742,2438431e
rankcloak-code-data-v1.0.0/tests/test_bounded_rank_codec.py,988,9862d9cc
rankcloak-code-data-v1.0.0/tests/test_detector_cuda_budget_gate.py,12453,9d9fccb4
rankcloak-code-data-v1.0.0/tests/test_revision_change_inventory.py,4398,3c0b74ae
rankcloak-code-data-v1.0.0/tests/test_legacy_gpu_ledger_cli.py,5597,b3c4a562
rankcloak-code-data-v1.0.0/tests/test_confirmatory_v2_orchestrator.py,95857,ca47d94d
rankcloak-code-data-v1.0.0/tests/test_revision_protocol.py,12526,fc4afd1e
rankcloak-code-data-v1.0.0/tests/test_result_schema.py,2784,36dc2a0f
rankcloak-code-data-v1.0.0/tests/test_revision_references.py,8163,29b58964
rankcloak-code-data-v1.0.0/tests/test_revision_topic_effects.py,5849,c4661ba3
rankcloak-code-data-v1.0.0/tests/test_leadin_segmented_protocol.py,583,b9a03e06
rankcloak-code-data-v1.0.0/tests/test_revision_evaluator_join.py,15190,c9627b28
rankcloak-code-data-v1.0.0/tests/test_revision_statistics.py,46776,f2cde2db
rankcloak-code-data-v1.0.0/tests/test_revision_overhead.py,7201,f203f026
rankcloak-code-data-v1.0.0/tests/test_payload_granularity.py,901,b861b94a
rankcloak-code-data-v1.0.0/tests/test_paper_payloads.py,1602,a4994520
rankcloak-code-data-v1.0.0/tests/test_run_revision_detectors.py,2158,8c879af6
rankcloak-code-data-v1.0.0/tests/test_prompt_registry.py,1341,b198fae8
rankcloak-code-data-v1.0.0/tests/test_revision_ablation_evidence.py,6146,e0883d40
rankcloak-code-data-v1.0.0/tests/test_revision_detector_analysis.py,9079,7bb6b8dc
rankcloak-code-data-v1.0.0/tests/test_revision_detector_reference.py,8463,8126dcf3
rankcloak-code-data-v1.0.0/tests/test_paper_schemas.py,1956,5817455d
rankcloak-code-data-v1.0.0/tests/test_revision_artifacts.py,4320,139218d7
